cleaned_first_batch
Business Name,Average Rating,Review Grade,Title,Review,Rating,Time,Review Count,Country,Status,Month,Month Numbers,Years
Mabuhay Travel,4.9,Excellent,Excellent Service - Kathleen Gomez,"""HUGE THANK YOU KATHLEEN GOMEZ FOR YOUR EXCELLENT RELIABLE SERVICE."" YOU'RE SO POLITE AND VERY PLEASANT TO TALK TO. YOU GAVE US A GREAT DEAL INDEED. I WILL DEFINITELY 100% RECOMMEND KATHLEEN AND YOUR COMPANY -MABUHAY TRAVEL TO MY FRIENDS ,RELATIVES AND TO EVERYONE . MASSIVE APPRECIATION FOR YOUR HELP AND HARD WORK. :-)Christine",5,24-Nov-18,1,GB,NULL,Nov,11,2018
Singlife Philippines,4.6,Excellent,"""What I can say for now.""","""It was my first time to avail of Singlife's Plan, I'll know more about them soon.""",4,"Updated Oct. 29, 2021",1,PH,Updated,Oct,10,2021
PNXBET,4.8,Excellent,#1 Betting site here in our country…,#1 Betting site here in our country good 24/7 customer serving keep it up #PNXBETUser name:DIDDIETeam Name:#PNXBETarmyPNXcasino#pnxbet #pnxbetagentsystem,5,27-Dec-21,1,PH,NULL,Dec,12,2021
PNXBET,4.8,Excellent,#1 betting site The One and Only…,#1 betting site The One and Only #PNXBET for the WINUser name:limitless005Team Name:#PNXBETarmyPNXcasino#pnxbet #pnxbetagentsystem,5,27-Dec-21,1,PH,NULL,Dec,12,2021
PNXBET,4.8,Excellent,#1 betting site in the Philippines more…,#1 betting site in the Philippines more crazy time pa🤑User name:rrpteamTeam Name:#PNXBETarmyPNXcasino#pnxbet #pnxbetagentsystem,5,26-Dec-21,1,PH,NULL,Dec,12,2021
PNXBET,4.8,Excellent,#Excellent betting,#Excellent bettingKeep up the good work 👌,5,21-Mar-20,1,PH,NULL,Mar,3,2020
Ninja Van,1.2,Bad,#noninjavan,"#noninjavanDelivery : 1/5 (Silently reschedule without inform customer) Customer Service : 1/5 (Waited 25min, unable to provide solution)Online chat : 1/5 (waited to 60min to connect to a agent)",1,5-Dec-20,1,SG,NULL,Dec,12,2020
PLDT,1.1,Bad,#pissedcustomerturnedhappysubscriber,#pissedcustomerturnedhappysubscriberI took me almost a month to get relocated to my new location. I called CSR’s everyday to check on the status of my request but none of them were able to meet my request until such time I went to SM Seaside Cebu to air out my concerns. Ms. Ella (SM Seaside - don’t know her last name) arranged everything and promised to monitor my urgent request. I knew it was vexing complaints coming from me I told her that no CSR’s were taking my request seriously but they only asked for email address and contact number and eventually nothing else happened.  I just want to commend Ms. Ella for doing everything she could with her power. She even called me for countless times for a followup. It took only a day to get my relocation.   Kudos to Ms.Ella.Another persons that I really wanted to commend are the technical people namely; Jose Winston Tilar and Ronaldo Besin ( Mandaue Team ) for taking an immediate action on my request. At that time   of installation it was raining cats and dogs but it didn’t stop them from doing it. It took them more than an hour to get the job done. They both get partially drenched on that day but did it with safety measures. YOU GUYS WERE AWESOME! A Million Thanks to you!,4,7-Jul-21,1,PH,NULL,Jul,7,2021
Globe Telecom,1.1,Bad,#reallyglobe,"#reallyglobe? You collect payment online but you can't do online refund? How come you have no 211 live rep to speak to with? bcoz of plandemic?!  but you wanted the customer to get refund at your store? What is the use of online banking?  Your Agent JayDetl7071..said it was ok for me to complain him for adding heat to my fire...you have no customer service globe..everytime I complaint you don't always give satisfactory resolution..#reallyglobe# Remove your customer service if they can't help us and your company to grow! Always unresolved, always unsatisfied, always bad service!",1,"Updated Oct. 24, 2020",1,PH,Updated,Oct,10,2020
Globe Telecom,1.1,Bad,#reallyglobe,"#reallyglobe? You collect payment online but you can't do online refund? How come you have no 211 live rep to speak to with? bcoz of plandemic?!  but you wanted the customer to get refund at your store? What is the use of online banking?  Your Agent JayDetl7071..said it was ok for me to complain him for adding heat to my fire...you have no customer service globe..everytime I complaint you don't always give satisfactory resolution..#reallyglobe# Remove your customer service if they can't help us and your company to grow! Always unresolved, always unsatisfied, always bad service!",1,Updated 24 Oct 2020,1,PH,Updated,Oct,10,2020
Globe Telecom,1.1,Bad,#reallyglobe,"#reallyglobe? You collect payment online but you can't do online refund? How come you have no 211 live rep to speak to with? bcoz of plandemic?!  but you wanted the customer to get refund at your store? What is the use of online banking?  Your Agent JayDetl7071..said it was ok for me to complain him for adding heat to my fire...you have no customer service globe..everytime I complaint you don't always give satisfactory resolution..#reallyglobe# Remove your customer service if they can't help us and your company to grow! Always unresolved, always unsatisfied, always bad service!",1,"Updated Oct 24, 2020",1,PH,Updated,Oct,10,2020
Philippine Airlines,1.4,Bad,$375 to cancel my flights during coronavirus lockdown,"$375 to cancel my flights. No option to rebook. Due to coronavirus and lockdown in Manila, flight is no longer possibility. Worst customer service I’ve ever dealt with. Was able to cancel hotels, flights with regional airlines without an issue. But the national carrier treats its customers like this.",1,13-Mar-20,1,CA,NULL,Mar,3,2020
Philippine Airlines,1.4,Bad,Underrated,"+ Modern leased jets+ High ratio of flight attendants to customers in business class on trans-pacific routes+ Good rates+Lots of personal space, excellent storage, and all front-facing (no harringbone design), comfortable seat/bed + On-time schedule+Spacious and modern lounge in Manila with good food and drink options-Refunds can take a long time.  Don't expect North American standards in this capacity.  If reparations fail, contact the Better Business Bureau as PAL agents are not provided the tools to resolve monetary disputes.-Food quantity and quality needs improvements -Limited IFE catalogue -The usual amenity kit with some useless itemsMy bottom line:  An underrated carrier I would fly with again to Asia but if at all possible would avoid Manila airport due to logistics e.g. taking away passport in holding area and bussing from one terminal to the next.",4,"Updated Jul 1, 2021",6,CA,Updated,Jul,7,2021
Ninja Van,1.2,Bad,",suddenly checked my tracking Id…",",suddenly checked my tracking Id showing you are cancel the parcel,how sad . so my plan I will go court I have full proof...",1,9-Oct-20,1,SG,NULL,Oct,10,2020
Entrego,1.4,Bad,GHOST COURIER!!!,"- NEGATIVE 100% (NO STAR deserved for this courier)- LEGIT?- They were sending GHOST DRIVER to send GHOST DELIVERY. They will just let you think that they were on the way to deliver your package on too many instances. They will just kept you waiting and you won't receive a single call from the courier driver. Then they will update your tracking that attempted deliveries done, so it will be customers fault for not complying. But for real, NO COURIER DRIVER EVER ARRIVED.",1,16-Jan-20,1,PH,NULL,Jan,1,2020
Lazada,1.5,Bad,DON'T BOTHER BUYING HERE!!!,"- VERY POOR CUSTOMER SERVICE.- ONCE THEY GET YOUR CASH VERY HARD TO GET IT REFUNDED- SEEMS TO HAVE TROUBLE WHEN THE COURIER IS LBC.- DON'T EVER BUY ANYTHING FROM THEM OR THEIR SELLERS, ESPECIALLY ELECTRONICS AND COMPUTER HARDWARE",1,"Updated Aug 1, 2018",1,PH,Updated,Aug,8,2018
Lazada,1.5,Bad,DON'T BOTHER BUYING HERE!!!,"- VERY POOR CUSTOMER SERVICE.- ONCE THEY GET YOUR CASH VERY HARD TO GET IT REFUNDED- SEEMS TO HAVE TROUBLE WHEN THE COURIER IS LBC.- DON'T EVER BUY ANYTHING FROM THEM OR THEIR SELLERS, ESPECIALLY ELECTRONICS AND COMPUTER HARDWARE",1,Updated 1 Aug 2018,1,PH,Updated,Aug,8,2018
Philippine Airlines,1.4,Bad,-1 STARS,-1 STARSWORST AIRLINES IN THE HEART OF THE FILIPINOSmore flights booked = more flights cancelled=),1,17-Jul-21,1,RO,NULL,Jul,7,2021
THEKULT.COM,3.8,Great,Highly Recommended,"-Delivery was fast and easy. -Items were legit but the other one seemed like an old stock though. Nonetheless, it was okay for me. -Quite pricey than other resellers but you can be sure of its authenticity-Will buy again!",4,26-Jul-20,1,PH,Invited,Jul,7,2020
Singlife Philippines,4.6,Excellent,Good,.Good. I will purchase again.,5,"Nov. 2, 2021",1,PH,Invited,Nov,11,2021
LBC Express,1.2,Bad,0 Star,"0 Star, not one, I called this number (1888-652-2522)Nica answered but she didn't help and hang up the line, and I called again and I was promised to be called back by the supervisor (Lem) but unfortunately, he didn't call.the issue on their system is the address not complete, but we already confirmed it 3 times and we did it again on delivery day but we still don't have our package.If you want to waste your time and money, Use this 0 service company",1,7-Sep-21,1,CA,NULL,Sep,9,2021
PLDT,1.1,Bad,0 rate,0 rate. pldt customer servce is no help. You guys had an internal servce maintenance that really affects our servce for 1 long week! And was told that we will be compensated for days that we’re out of service. And when you call back to ask for rebates they wont give you any credit since you only called once. They will gonna promised you to request for the credit and they’ll have you call back to follow up for credit coz they know that we tend to forget things and you will let it go coz you’re tired in dealing with them already and here you are paying full month of service even if youre not able to use it. So freakin scam! Im done with you pldt! Not gonna recommend to anyone. Youre such a headache!,1,8-Nov-21,1,PH,NULL,Nov,11,2021
Flowerstore.ph,4.0,Great,0 stars,0 stars. Does not even deserve a 1. Scammed me of my money as I ordered well in advance but order was never delivered. Puro canned replies from chatbot lang sa messenger! DO NOT ORDER from FLOWERSTORE!P.S. They blocked me from their messenger! They even deleted the negative comments they are receiving at fb. How unprofessional can you get!,1,"Updated Feb 14, 2020",1,PH,Updated,Feb,2,2020
LBC Express,1.2,Bad,0 stars,0 stars. The worst company that I have dealt with in my while life. Package has not been delivered for over 1 month. Customer support can't help. This was a total nightmare . I do not recommend.,1,7-Aug-20,1,US,NULL,Aug,8,2020
Ninja Van,1.2,Bad,Avoid all sellers using ninjavan as a courier,"0 stars… Ninjavan claims they are backed up by 11.11 orders, but my parcels ordered on 15 Nov have arrived but those ordered during 11.11 are not?? Contacted them to clarify and they cited 11.11 backlog. So ninjavan, please help me make this make sense. If you’re so backed up then all parcels should have shipment delays?Second, don’t over commit your business by assumingly offering small businesses a good price despite the horrible service. If you can’t commit the volumes then don’t. You’re not just hurting your own reputation, you’re affecting the local sellers’ as well. And on top of that sometimes we have to pay extra for delivery and still get this delay in parcels? Like come on. I have a parcel ordered on 11.11 with expected delivery on 18 December. You can’t be serious…",1,21-Nov-21,1,SG,NULL,Nov,11,2021
