,body_neg,body_neu,body_pos,body_com,title_neg,title_neu,title_pos,title_com,Title Length,Body Length,Total Length,Title Emoji,Body Emoji,Title Ellipses,Body Ellipses,Title Hashtags,Body Hashtags,Title Exclamations,Body Exclamations,Status Rank,# Reviews,Target Rating
1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9,22,31,0,0,0,0,0,0,0,0,1,1,4
2,0.0,0.854,0.146,0.4404,0.0,1.0,0.0,0.0,8,28,36,0,0,0,0,1,5,0,0,0,1,5
3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8,24,32,0,0,0,0,1,5,0,0,0,1,5
4,0.183,0.817,0.0,-0.4005,0.0,1.0,0.0,0.0,8,22,30,0,1,0,0,1,4,0,0,0,1,5
5,0.0,0.633,0.367,0.4404,0.0,1.0,0.0,0.0,3,8,11,0,1,0,0,1,1,0,0,0,1,5
7,0.062,0.795,0.143,0.969,0.0,1.0,0.0,0.0,2,249,251,0,0,0,0,1,1,0,2,0,1,4
8,0.237,0.738,0.024,-0.9765,0.0,1.0,0.0,0.0,2,120,122,0,0,0,1,1,3,0,3,1,1,1
9,0.237,0.738,0.024,-0.9765,0.0,1.0,0.0,0.0,2,120,122,0,0,0,1,1,3,0,3,1,1,1
14,0.141,0.859,0.0,-0.8885,0.761,0.239,0.0,-0.4898,5,97,102,0,0,0,0,0,0,3,0,0,1,1
15,0.182,0.818,0.0,-0.7774,0.0,0.507,0.493,0.4427,8,41,49,0,0,0,0,0,0,3,0,1,1,1
16,0.182,0.818,0.0,-0.7774,0.0,0.507,0.493,0.4427,8,41,49,0,0,0,0,0,0,3,0,1,1,1
18,0.0,0.764,0.236,0.8687,0.0,0.323,0.677,0.2716,2,44,46,0,0,0,0,0,0,0,1,3,1,4
19,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4404,1,7,8,0,0,0,0,0,0,0,0,3,1,5
21,0.094,0.82,0.086,-0.3086,0.0,1.0,0.0,0.0,2,155,157,0,0,0,0,0,0,0,4,0,1,1
22,0.199,0.778,0.023,-0.9296,0.0,1.0,0.0,0.0,2,69,71,0,0,0,0,0,0,0,4,1,1,1
25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5,14,19,0,0,0,0,0,0,0,1,0,1,1
26,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5,14,19,0,0,0,0,0,0,0,1,0,1,1
27,0.051,0.941,0.008,-0.6936,0.0,1.0,0.0,0.0,3,177,180,0,0,0,0,0,0,0,0,0,1,1
29,0.239,0.761,0.0,-0.296,0.756,0.244,0.0,-0.4767,2,10,12,0,0,0,0,0,0,0,0,0,3,1
30,0.0,0.881,0.119,0.2235,0.0,1.0,0.0,0.0,3,20,23,0,0,0,0,0,0,0,0,1,1,1
31,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7,34,41,0,0,0,0,0,0,0,0,0,1,1
33,0.035,0.883,0.082,0.7772,0.451,0.22,0.33,-0.2732,5,156,161,0,0,0,0,0,1,0,2,0,1,1
34,0.0,0.637,0.363,0.8658,0.0,0.4,0.6,0.6696,5,26,31,0,0,0,0,0,0,1,0,3,2,5
35,0.089,0.815,0.095,-0.1779,0.0,0.408,0.592,0.4404,4,53,57,0,0,0,0,0,0,0,0,2,1,3
36,0.192,0.748,0.06,-0.6767,0.608,0.392,0.0,-0.4767,3,38,41,0,0,0,0,0,0,0,0,0,6,1
38,0.075,0.781,0.144,0.7944,0.0,0.833,0.167,0.2023,10,117,127,0,0,0,0,0,0,0,0,0,1,1
40,0.038,0.897,0.065,0.4712,0.0,0.256,0.744,0.7003,4,215,219,0,0,0,0,0,0,0,0,1,1,3
41,0.305,0.695,0.0,-0.7925,0.0,1.0,0.0,0.0,5,21,26,0,0,0,0,0,0,0,0,0,1,1
42,0.196,0.446,0.357,0.2023,0.0,1.0,0.0,0.0,4,12,16,0,0,0,0,0,0,0,0,0,1,5
